tractID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,total
17031300600,1,28,56,11,0,48,5,3,1,0,0,0,0,0,29,25,0,1,0,20,0,0,4,23,0,0,42,1,298
17031030104,0,2,18,10,0,8,4,5,0,0,0,0,0,2,3,13,0,0,0,12,0,0,2,3,0,0,28,0,110
17031040100,0,10,34,24,1,38,7,8,0,0,1,0,0,2,18,19,0,0,0,13,0,0,3,2,0,0,50,3,233
17031260400,0,27,115,18,0,37,9,8,4,0,3,0,0,1,17,151,0,0,0,32,116,0,1,31,0,0,62,7,639
17031030101,0,12,40,12,1,15,5,8,1,0,1,0,0,1,14,25,0,0,0,20,0,0,2,4,3,0,152,3,319
17031071600,0,1,8,8,0,13,1,4,0,0,0,1,0,0,3,1,0,1,0,3,0,0,2,2,0,0,26,1,75
17031030103,0,4,15,8,1,3,3,6,0,0,0,0,0,0,7,5,0,3,0,5,0,0,2,3,2,0,18,2,87
17031030102,0,14,39,11,1,22,3,5,0,0,0,1,0,0,8,13,0,0,0,25,0,0,0,11,0,0,53,0,206
17031081401,0,16,34,1,1,11,27,46,0,0,1,0,0,0,7,12,0,1,0,27,13,0,3,12,2,1,293,0,508
17031740100,0,17,35,8,1,21,2,7,0,0,0,0,0,0,2,7,0,9,0,18,0,0,1,2,1,0,41,2,174
17031081403,0,11,41,7,0,36,18,61,0,0,1,0,0,1,15,8,0,0,0,39,26,0,6,10,2,0,374,1,657
17031670500,0,18,89,27,4,52,13,8,0,2,3,0,0,0,10,58,0,3,0,21,0,0,2,13,2,0,82,19,426
17031461000,0,40,81,20,1,70,7,31,0,0,0,0,1,1,12,30,0,1,0,15,1,0,3,22,2,0,152,11,501
17031834300,0,89,229,115,5,128,19,50,1,1,1,1,2,0,69,45,0,10,0,84,0,0,5,103,5,2,316,12,1292
17031611400,0,27,68,29,2,55,4,6,0,2,4,0,3,2,44,64,0,5,0,21,5,0,0,21,1,0,28,6,397
17031842300,0,18,60,28,1,86,12,31,0,0,0,0,0,2,59,13,0,2,0,19,0,0,2,20,0,1,353,0,707
